Incident Zip,rat_sightings,ZIPCODE,total_inspections,unique_restaurants,avg_score,median_score,grade_A_pct
11210,341,11210.0,1206.0,86.0,19.498341625207296,14.0,0.0
11211,1085,11211.0,5523.0,371.0,18.172732210755026,14.0,0.0
11212,873,11212.0,1655.0,110.0,18.43323262839879,14.0,0.0
11213,1251,11213.0,1692.0,102.0,21.606382978723403,18.0,0.0
11214,384,11214.0,3131.0,188.0,20.60683487703609,18.0,0.0
11215,1028,11215.0,4994.0,336.0,17.650780937124548,13.0,0.0
11216,2133,11216.0,2201.0,167.0,19.333484779645616,16.0,0.0
11217,1139,11217.0,3311.0,269.0,17.499546964663242,13.0,0.0
11218,329,11218.0,2350.0,143.0,20.578297872340425,17.0,0.0
11219,305,11219.0,1678.0,105.0,19.985101311084623,17.0,0.0
11220,314,11220.0,5677.0,332.0,21.97445834067289,18.0,0.0
11221,2669,11221.0,1492.0,117.0,19.241957104557642,17.0,0.0
11222,742,11222.0,3055.0,199.0,18.46644844517185,14.0,0.0
11223,329,11223.0,2448.0,175.0,17.69199346405229,13.0,0.0
11224,165,11224.0,832.0,79.0,17.868990384615383,13.0,0.0
11225,814,11225.0,1712.0,120.0,18.03271028037383,14.0,0.0
11226,1182,11226.0,3132.0,184.0,19.70977011494253,15.0,0.0
11228,143,11228.0,753.0,53.0,18.779548472775563,14.0,0.0
11229,233,11229.0,2045.0,132.0,19.987775061124694,16.0,0.0
11230,361,11230.0,1726.0,102.0,19.68250289687138,16.0,0.0
11231,373,11231.0,2150.0,160.0,17.322325581395347,13.0,0.0
11232,142,11232.0,1670.0,115.0,21.688023952095808,18.0,0.0
11233,1566,11233.0,1157.0,82.0,20.074330164217805,16.0,0.0
11234,374,11234.0,1984.0,145.0,18.090725806451612,13.0,0.0
11235,459,11235.0,2752.0,178.0,19.915334302325583,14.0,0.0
11236,502,11236.0,1777.0,111.0,19.655599324704557,16.0,0.0
11237,1178,11237.0,3015.0,204.0,20.1363184079602,15.0,0.0
11238,1717,11238.0,3288.0,234.0,18.05596107055961,14.0,0.0
11239,5,11239.0,178.0,17.0,16.376404494382022,13.0,0.0
11249,282,11249.0,2160.0,155.0,18.724074074074075,16.0,0.0
11354,137,11354.0,6169.0,405.0,21.759118171502674,18.0,0.0
11355,197,11355.0,3591.0,207.0,21.48259537733222,18.0,0.0
11356,65,11356.0,688.0,48.0,16.712209302325583,13.0,0.0
11357,171,11357.0,900.0,71.0,15.964444444444444,13.0,0.0
11358,91,11358.0,2050.0,139.0,19.24439024390244,14.0,0.0
11360,28,11360.0,329.0,23.0,17.358662613981764,13.0,0.0
11361,132,11361.0,1757.0,121.0,17.154809334092203,13.0,0.0
11362,35,11362.0,830.0,52.0,19.34578313253012,13.0,0.0
11363,18,11363.0,127.0,12.0,13.196850393700787,12.0,0.0
11364,43,11364.0,796.0,52.0,17.314070351758794,13.0,0.0
11365,71,11365.0,592.0,48.0,17.902027027027028,13.0,0.0
11366,30,11366.0,797.0,58.0,17.366373902133,13.0,0.0
11367,103,11367.0,808.0,53.0,18.846534653465348,13.0,0.0
11368,407,11368.0,4391.0,304.0,18.848326121612388,16.0,0.0
11369,123,11369.0,969.0,83.0,15.78328173374613,12.0,0.0
11370,137,11370.0,320.0,27.0,13.7875,12.0,0.0
11372,342,11372.0,6145.0,324.0,20.463954434499595,17.0,0.0
11373,425,11373.0,3524.0,218.0,19.492622020431327,16.0,0.0
11374,210,11374.0,1349.0,98.0,17.253521126760564,13.0,0.0
11375,176,11375.0,2922.0,198.0,16.340862422997947,13.0,0.0
11377,607,11377.0,3412.0,207.0,18.82356389214537,16.0,0.0
11378,319,11378.0,1161.0,84.0,18.27993109388458,13.0,0.0
11379,289,11379.0,601.0,46.0,16.424292845257902,12.0,0.0
11385,1325,11385.0,3885.0,263.0,17.734105534105534,13.0,0.0
11411,88,11411.0,425.0,24.0,19.609411764705882,17.0,0.0
11412,416,11412.0,571.0,40.0,15.12784588441331,13.0,0.0
11413,213,11413.0,634.0,45.0,17.98422712933754,13.0,0.0
11414,139,11414.0,885.0,52.0,17.82824858757062,13.0,0.0
11415,52,11415.0,608.0,33.0,18.567434210526315,17.0,0.0
11416,174,11416.0,726.0,41.0,20.911845730027547,17.0,0.0
11417,234,11417.0,1033.0,68.0,17.734753146176185,15.0,0.0
11418,213,11418.0,1364.0,88.0,18.2133431085044,16.0,0.0
11419,251,11419.0,1598.0,94.0,19.630162703379224,17.0,0.0
11420,265,11420.0,1344.0,87.0,17.75,13.5,0.0
11421,169,11421.0,1221.0,77.0,19.020475020475022,15.0,0.0
11422,92,11422.0,542.0,35.0,17.8450184501845,15.0,0.0
11423,135,11423.0,403.0,31.0,17.45409429280397,13.0,0.0
11426,77,11426.0,538.0,33.0,16.479553903345725,13.0,0.0
11427,50,11427.0,298.0,20.0,16.140939597315437,13.0,0.0
11428,56,11428.0,781.0,37.0,21.079385403329066,18.0,0.0
11429,170,11429.0,359.0,22.0,17.610027855153202,13.0,0.0
11430,1,11430.0,1804.0,151.0,17.31042128603104,13.0,0.0
11432,337,11432.0,2636.0,181.0,18.647192716236724,13.5,0.0
11433,447,11433.0,394.0,26.0,17.80710659898477,13.0,0.0
11434,368,11434.0,1012.0,83.0,18.545454545454547,13.0,0.0
11435,412,11435.0,1722.0,107.0,18.279326364692217,14.0,0.0
11436,190,11436.0,271.0,21.0,16.428044280442805,13.0,0.0
11691,169,11691.0,812.0,46.0,19.054187192118228,16.0,0.0
11692,58,11692.0,117.0,9.0,14.222222222222221,12.0,0.0
11693,52,11693.0,427.0,32.0,17.791569086651055,14.0,0.0
11694,61,11694.0,663.0,40.0,17.70739064856712,13.0,0.0
