Incident Zip,rat_sightings,ZIPCODE,total_inspections,unique_restaurants,avg_score,median_score,critical_rate
10001,287,10001.0,6733.0,471.0,18.991979800980246,14.0,0.5887420169315313
10002,1059,10002.0,7161.0,467.0,19.76134618070102,16.0,0.6001955034213099
10003,481,10003.0,10305.0,677.0,19.328578360019407,15.0,0.5859291606016497
10004,25,10004.0,1897.0,145.0,16.622561939905115,13.0,0.5872430152872957
10005,17,10005.0,795.0,66.0,18.862893081761005,13.0,0.5685534591194968
10006,54,10006.0,600.0,40.0,22.013333333333332,16.0,0.5966666666666667
10007,171,10007.0,1723.0,136.0,18.810214741729542,13.0,0.5861868833430064
10009,906,10009.0,4543.0,290.0,18.196346026854503,15.0,0.5947611710323575
10010,247,10010.0,3675.0,257.0,18.491972789115646,14.0,0.6008163265306122
10011,442,10011.0,6526.0,459.0,18.512411890897948,15.0,0.5948513637756666
10012,433,10012.0,5707.0,399.0,18.416856492027335,13.0,0.5862975293499212
10013,484,10013.0,8474.0,488.0,20.66261505782393,17.0,0.6032570214774605
10014,496,10014.0,5896.0,390.0,18.059701492537314,14.0,0.5924355495251018
10016,295,10016.0,6723.0,412.0,19.58768406961178,15.0,0.5958649412464674
10017,49,10017.0,5264.0,329.0,19.34669452887538,16.0,0.5902355623100304
10018,102,10018.0,4715.0,342.0,19.6118769883351,15.0,0.5889713679745493
10019,316,10019.0,9223.0,671.0,18.723408869131518,14.0,0.5871191586251762
10020,2,10020.0,441.0,41.0,16.08843537414966,12.0,0.5555555555555556
10021,287,10021.0,2324.0,148.0,18.41566265060241,14.0,0.5942340791738382
10022,243,10022.0,6839.0,452.0,18.5339961982746,15.0,0.5949700248574353
10023,543,10023.0,2384.0,189.0,18.103607382550337,13.0,0.5780201342281879
10024,864,10024.0,2889.0,186.0,19.71547248182762,16.0,0.6147455867082036
10025,1770,10025.0,4036.0,223.0,20.639246778989097,17.0,0.5946481665014867
10026,972,10026.0,1281.0,83.0,19.391881342701016,17.0,0.6049960967993755
10027,1150,10027.0,2365.0,163.0,19.441860465116278,16.0,0.5758985200845665
10028,476,10028.0,2868.0,199.0,18.764644351464437,15.0,0.5875174337517434
10029,867,10029.0,3192.0,202.0,20.711466165413533,18.0,0.618734335839599
10030,629,10030.0,573.0,45.0,17.551483420593367,16.0,0.5671902268760908
10031,1218,10031.0,1796.0,110.0,19.987193763919823,17.0,0.6158129175946548
10032,903,10032.0,1999.0,115.0,19.92296148074037,17.0,0.5957978989494748
10033,840,10033.0,1668.0,113.0,19.3794964028777,16.0,0.5815347721822542
10034,608,10034.0,1755.0,109.0,19.516239316239318,17.0,0.5943019943019943
10035,593,10035.0,1088.0,80.0,18.329963235294116,16.0,0.5863970588235294
10036,445,10036.0,8639.0,595.0,19.27549484894085,14.0,0.5909248755643014
10037,195,10037.0,449.0,32.0,19.50334075723831,16.0,0.6013363028953229
10038,233,10038.0,2886.0,197.0,20.71101871101871,16.0,0.5945945945945946
10039,267,10039.0,455.0,29.0,17.582417582417584,13.0,0.5538461538461539
10040,504,10040.0,1034.0,74.0,20.098646034816248,17.0,0.5696324951644101
10044,7,10044.0,63.0,7.0,10.761904761904763,10.0,0.47619047619047616
10065,185,10065.0,2676.0,182.0,18.233931240657697,14.0,0.5724962630792227
10069,14,10069.0,50.0,4.0,15.78,12.0,0.58
10075,177,10075.0,1468.0,89.0,19.081062670299726,13.0,0.6123978201634878
10128,911,10128.0,2574.0,153.0,19.8986013986014,16.0,0.5994560994560995
10162,10,0.0,0.0,0.0,0.0,0.0,0.0
10174,1,10174.0,25.0,3.0,10.52,10.0,0.56
10271,1,10271.0,34.0,2.0,16.852941176470587,14.0,0.5294117647058824
10280,18,10280.0,119.0,10.0,18.0,13.0,0.5210084033613446
10282,11,10282.0,177.0,17.0,14.892655367231638,12.0,0.5423728813559322
10301,295,10301.0,1427.0,101.0,19.746320953048354,17.0,0.5949544498948843
10302,252,10302.0,881.0,62.0,19.846765039727583,17.0,0.6038592508513053
10303,312,10303.0,450.0,35.0,19.182222222222222,15.0,0.5844444444444444
10304,349,10304.0,665.0,52.0,23.0,19.0,0.6105263157894737
10305,317,10305.0,1436.0,98.0,18.57033426183844,13.0,0.5731197771587744
10306,522,10306.0,1307.0,102.0,17.9716908951798,14.0,0.5883703136954859
10307,93,10307.0,335.0,28.0,17.797014925373134,13.0,0.6029850746268657
10308,218,10308.0,743.0,53.0,20.33512786002692,14.0,0.5962314939434724
10309,195,10309.0,841.0,73.0,18.1474435196195,14.0,0.6456599286563615
10310,289,10310.0,905.0,56.0,22.641988950276243,20.0,0.6077348066298343
10312,399,10312.0,1048.0,77.0,19.05057251908397,16.0,0.6307251908396947
10314,570,10314.0,2535.0,173.0,19.7767258382643,17.0,0.6023668639053255
10451,704,10451.0,1773.0,158.0,17.109419063733785,13.0,0.5668358714043993
10452,1020,10452.0,1553.0,95.0,19.39214423696072,15.0,0.5866065679330328
10453,1082,10453.0,1523.0,97.0,18.78069599474721,14.0,0.5961917268548916
10454,442,10454.0,1026.0,69.0,19.384990253411306,15.5,0.5955165692007798
10455,672,10455.0,1559.0,106.0,18.978191148171906,15.0,0.584990378447723
10456,1520,10456.0,1389.0,90.0,18.824334053275738,14.0,0.5658747300215983
10457,1454,10457.0,1342.0,93.0,18.248137108792847,14.5,0.5469448584202683
10458,1384,10458.0,2716.0,178.0,19.920103092783506,16.0,0.595360824742268
10459,920,10459.0,1066.0,74.0,18.912757973733584,15.0,0.5863039399624765
10460,862,10460.0,795.0,73.0,16.57987421383648,12.0,0.5685534591194968
10461,295,10461.0,2030.0,151.0,16.1679802955665,13.0,0.570935960591133
10462,866,10462.0,1997.0,142.0,17.245368052078117,14.0,0.5783675513269905
10463,649,10463.0,1614.0,118.0,18.401486988847584,13.0,0.5824039653035935
10464,50,10464.0,524.0,38.0,19.362595419847327,14.5,0.5725190839694656
10465,275,10465.0,983.0,79.0,17.08850457782299,13.0,0.5686673448626653
10466,507,10466.0,1355.0,90.0,17.88929889298893,14.0,0.5785977859778598
10467,1530,10467.0,2132.0,153.0,18.44746716697936,15.0,0.5562851782363978
10468,1042,10468.0,1682.0,103.0,19.698573127229487,16.0,0.5689655172413793
10469,592,10469.0,1356.0,88.0,19.63864306784661,16.0,0.5966076696165191
10470,165,10470.0,531.0,43.0,16.75141242937853,13.0,0.5781544256120528
10471,103,10471.0,731.0,49.0,17.80437756497948,14.0,0.5677154582763337
10472,820,10472.0,1575.0,110.0,17.612698412698414,15.0,0.5942857142857143
10473,288,10473.0,389.0,28.0,18.164524421593832,16.0,0.5912596401028277
10474,301,10474.0,474.0,35.0,17.417721518987342,13.0,0.6033755274261603
10475,54,10475.0,724.0,56.0,17.772099447513813,14.0,0.5925414364640884
11001,36,11001.0,28.0,2.0,16.928571428571427,13.0,0.5357142857142857
11004,17,11004.0,422.0,29.0,17.27251184834123,13.0,0.5995260663507109
11040,7,11040.0,337.0,20.0,18.3026706231454,16.0,0.5964391691394659
11101,433,11101.0,4014.0,264.0,18.821873442949677,14.0,0.5909317389138017
11102,124,11102.0,1197.0,86.0,17.646616541353385,13.0,0.568922305764411
11103,361,11103.0,3078.0,218.0,17.09584145549058,13.0,0.5756985055230669
11104,152,11104.0,1645.0,109.0,18.806686930091185,13.0,0.5939209726443769
11105,153,11105.0,1905.0,133.0,17.134383202099738,13.0,0.5900262467191602
11106,202,11106.0,2425.0,158.0,18.195051546391753,13.0,0.5839175257731959
11201,527,11201.0,5328.0,387.0,18.615615615615617,13.0,0.5731981981981982
11203,881,11203.0,2372.0,137.0,20.049325463743678,17.0,0.5695615514333895
11204,214,11204.0,2118.0,125.0,20.386213408876298,16.0,0.5967894239848914
11205,733,11205.0,2160.0,143.0,18.9625,15.0,0.6101851851851852
11206,1186,11206.0,2266.0,160.0,18.86187113857017,15.0,0.5979699911738746
11207,1382,11207.0,2248.0,131.0,19.09297153024911,16.0,0.5827402135231317
11208,819,11208.0,1685.0,107.0,19.306231454005935,16.0,0.6
11209,193,11209.0,3837.0,253.0,19.468595256710973,13.0,0.5574667709147771
11210,341,11210.0,1206.0,86.0,19.498341625207296,14.0,0.5630182421227198
11211,1085,11211.0,5523.0,371.0,18.172732210755026,14.0,0.5895346731848633
11212,873,11212.0,1655.0,110.0,18.43323262839879,14.0,0.5631419939577039
11213,1251,11213.0,1692.0,102.0,21.606382978723403,18.0,0.5933806146572104
11214,384,11214.0,3131.0,188.0,20.60683487703609,18.0,0.5729798786330246
11215,1028,11215.0,4994.0,336.0,17.650780937124548,13.0,0.592110532639167
11216,2133,11216.0,2201.0,167.0,19.333484779645616,16.0,0.5806451612903226
11217,1139,11217.0,3311.0,269.0,17.499546964663242,13.0,0.5750528541226215
11218,329,11218.0,2350.0,143.0,20.578297872340425,17.0,0.5936170212765958
11219,305,11219.0,1678.0,105.0,19.985101311084623,17.0,0.5792610250297974
11220,314,11220.0,5677.0,332.0,21.97445834067289,18.0,0.6013739651224238
11221,2669,11221.0,1492.0,117.0,19.241957104557642,17.0,0.6012064343163539
11222,742,11222.0,3055.0,199.0,18.46644844517185,14.0,0.5875613747954174
11223,329,11223.0,2448.0,175.0,17.69199346405229,13.0,0.5571895424836601
