,rat_sightings,avg_score,median_score,critical_rate,total_inspections,unique_restaurants
rat_sightings,1.0,0.2549417816114319,0.2992183458374137,0.1297924317608159,0.23040857306655765,0.22906036552040732
avg_score,0.2549417816114319,1.0,0.8709307829088002,0.7408544439500415,0.30720684316474245,0.27655908639938553
median_score,0.2992183458374137,0.8709307829088002,1.0,0.6525401247643436,0.2326138898180025,0.1873432166867247
critical_rate,0.1297924317608159,0.7408544439500415,0.6525401247643436,1.0,0.1957879906435962,0.18703129800225415
total_inspections,0.23040857306655765,0.30720684316474245,0.2326138898180025,0.1957879906435962,1.0,0.9921601987191649
unique_restaurants,0.22906036552040732,0.27655908639938553,0.1873432166867247,0.18703129800225415,0.9921601987191649,1.0
