,rat_sightings,total_inspections,unique_restaurants,avg_score,median_score,critical_rate
count,183.0,183.0,183.0,183.0,183.0,183.0
mean,450.40437158469945,2036.224043715847,136.68852459016392,18.375916596881165,14.472677595628415,0.5789059526711954
std,453.9632922935676,1912.7217128028633,125.84032368598557,2.2111185359815737,2.0799453025063794,0.047564637914989646
min,1.0,0.0,0.0,0.0,0.0,0.0
25%,138.0,737.0,50.5,17.648698739238966,13.0,0.5694828106004157
50%,295.0,1559.0,102.0,18.545454545454547,14.0,0.5844444444444444
75%,607.5,2554.5,176.5,19.500841191222804,16.0,0.594806267404012
max,2669.0,10305.0,677.0,23.0,20.0,0.6456599286563615
